D50_NODE_5027_length_3984_cov_2.063884	80864	family	Comamonadaceae	2	2	2	1.000	d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae
F10_NODE_5893_length_3005_cov_4.792542	33630	no rank	Alveolata	1	1	1	1.000	d_Eukaryota
F10_NODE_391_length_11419_cov_13.607357	171	genus	Leptospira	1	1	1	1.000	d_Bacteria;p_Spirochaetes;c_Spirochaetia;o_Leptospirales;f_Leptospiraceae;g_Leptospira
F11_NODE_8113_length_4647_cov_5.029181	6020	class	Oligohymenophorea	1	1	1	1.000	d_Eukaryota;p_Ciliophora;c_Oligohymenophorea
F11_NODE_7504_length_4853_cov_15.704043	6020	class	Oligohymenophorea	1	1	1	1.000	d_Eukaryota;p_Ciliophora;c_Oligohymenophorea
F11_NODE_14026_length_3440_cov_2.101625	95818	phylum	Candidatus Saccharibacteria	4	4	4	1.000	d_Bacteria;p_Candidatus Saccharibacteria
F11_NODE_11803_length_3771_cov_3.101453	200795	phylum	Chloroflexi	2	2	2	1.000	d_Bacteria;p_Chloroflexi
F11_NODE_5840_length_5558_cov_3.838633	926550	no rank	Caldilinea aerophila DSM 14535 = NBRC 104270	2	2	1	0.560	d_Bacteria;p_Chloroflexi;c_Caldilineae;o_Caldilineales;f_Caldilineaceae;g_Caldilinea;s_Caldilinea aerophila
F12_NODE_3474_length_9080_cov_20.461274	976	phylum	Bacteroidetes	2	2	1	0.820	d_Bacteria;p_Bacteroidetes
F12_NODE_26242_length_3075_cov_6.602980	419481	species	Desulfoluna spongiiphila	1	1	1	1.000	d_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfobacterales;f_Desulfobacteraceae;g_Desulfoluna;s_Desulfoluna spongiiphila
F20_NODE_1046_length_8348_cov_6.140480	2109915	species	Simplicispira suum	3	3	3	1.000	d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Simplicispira;s_Simplicispira suum
F20_NODE_5994_length_3841_cov_11.405177	10239	superkingdom	Viruses	2	2	2	1.000	d_Viruses
F21_NODE_2857_length_3825_cov_53.720159	10239	superkingdom	Viruses	1	1	1	1.000	d_Viruses
F21_NODE_3770_length_3410_cov_7.555887	29	order	Myxococcales	2	2	2	1.000	d_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Myxococcales
F21_NODE_5013_length_3015_cov_5.706419	131567	no rank	cellular organisms	1	1	1	1.000	
F2_NODE_14069_length_3088_cov_2.529179	49	family	Polyangiaceae	2	2	1	0.850	d_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Myxococcales;f_Polyangiaceae
F2_NODE_13529_length_3154_cov_2.313972	1783270	no rank	FCB group	1	1	1	1.000	d_Bacteria
F2_NODE_14784_length_3003_cov_3.833786	1617411	species	Chlorobi bacterium OLB4	2	2	2	1.000	d_Bacteria;p_Chlorobi;s_Chlorobi bacterium OLB4
F2_NODE_13792_length_3121_cov_4.651337	1077153	species	Paramoeba atlantica	1	1	1	1.000	d_Eukaryota;p_Discosea;c_Flabellinia;o_Dactylopodida;f_Paramoebidae;g_Paramoeba;s_Paramoeba atlantica
F3_NODE_517_length_11823_cov_30.398708	2	superkingdom	Bacteria	5	5	4	0.680	d_Bacteria
D41_NODE_1327_length_11549_cov_31.311728	235627	no rank	unclassified Arthrobacter	2	2	1	0.680	d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Micrococcales;f_Micrococcaceae;g_Arthrobacter
D41_NODE_10524_length_3083_cov_8.089498	280093	species	Flavobacterium granuli	2	2	2	1.000	d_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Flavobacterium;s_Flavobacterium granuli
D42_NODE_6180_length_3760_cov_10.337112	1224	phylum	Proteobacteria	3	3	3	1.000	d_Bacteria;p_Proteobacteria
D42_NODE_1238_length_11379_cov_4.188714	1617412	species	Chlorobi bacterium OLB5	1	1	1	1.000	d_Bacteria;p_Chlorobi;s_Chlorobi bacterium OLB5
D43_NODE_5063_length_4117_cov_15.726736	2759	superkingdom	Eukaryota	1	1	1	1.000	d_Eukaryota
D43_NODE_1289_length_8630_cov_2.162915	976	phylum	Bacteroidetes	3	3	1	0.660	d_Bacteria;p_Bacteroidetes
D43_NODE_7383_length_3329_cov_4.359499	976	phylum	Bacteroidetes	1	1	1	1.000	d_Bacteria;p_Bacteroidetes
D44_NODE_2247_length_7862_cov_20.882797	1224	phylum	Proteobacteria	5	5	4	0.640	d_Bacteria;p_Proteobacteria
D44_NODE_1809_length_9188_cov_17.095916	976	phylum	Bacteroidetes	5	5	4	0.920	d_Bacteria;p_Bacteroidetes
D44_NODE_5831_length_4049_cov_18.265148	0	no rank	unclassified	1	0	0	0.000	
D18_NODE_5190_length_3564_cov_7.035053	171	genus	Leptospira	1	1	1	1.000	d_Bacteria;p_Spirochaetes;c_Spirochaetia;o_Leptospirales;f_Leptospiraceae;g_Leptospira
D19_NODE_6657_length_4164_cov_2.794110	2	superkingdom	Bacteria	3	3	3	1.000	d_Bacteria
D19_NODE_3838_length_5820_cov_2.105117	2	superkingdom	Bacteria	1	1	1	1.000	d_Bacteria
D20_NODE_9660_length_3137_cov_3.597988	57723	phylum	Acidobacteria	1	1	1	1.000	d_Bacteria;p_Acidobacteria
D20_NODE_4928_length_4911_cov_3.975494	170	family	Leptospiraceae	2	2	1	0.510	d_Bacteria;p_Spirochaetes;c_Spirochaetia;o_Leptospirales;f_Leptospiraceae
D20_NODE_6859_length_3940_cov_2.456371	1617419	species	Bacteroidetes bacterium OLB8	1	1	1	1.000	d_Bacteria;p_Bacteroidetes;s_Bacteroidetes bacterium OLB8
D21_NODE_1745_length_8190_cov_7.251383	1619235	species	Pseudomonas sp. BICA1-14	2	2	1	0.810	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas;s_Pseudomonas sp. BICA1-14
D21_NODE_1704_length_8322_cov_3.203701	1617419	species	Bacteroidetes bacterium OLB8	3	3	2	0.920	d_Bacteria;p_Bacteroidetes;s_Bacteroidetes bacterium OLB8
D22_NODE_6555_length_3953_cov_3.113648	976	phylum	Bacteroidetes	1	1	1	1.000	d_Bacteria;p_Bacteroidetes
D22_NODE_3318_length_6186_cov_7.815854	171	genus	Leptospira	4	4	3	0.980	d_Bacteria;p_Spirochaetes;c_Spirochaetia;o_Leptospirales;f_Leptospiraceae;g_Leptospira
F4_NODE_667_length_13719_cov_16.067403	1	no rank	root	1	1	1	1.000	
F4_NODE_6961_length_3899_cov_9.789022	6072	no rank	Eumetazoa	2	2	2	1.000	d_Eukaryota;k_Metazoa
F4_NODE_11904_length_3000_cov_8.084211	33208	kingdom	Metazoa	2	2	2	1.000	d_Eukaryota;k_Metazoa
F4_NODE_7170_length_3838_cov_6.021147	33213	no rank	Bilateria	1	1	1	1.000	d_Eukaryota;k_Metazoa
F4_NODE_5452_length_4426_cov_5.021734	1982329	species	Verrucomicrobiae bacterium Tous-C2TDCM	2	2	1	0.830	d_Bacteria;p_Verrucomicrobia;c_Verrucomicrobiae;s_Verrucomicrobiae bacterium Tous-C2TDCM
F4_NODE_926_length_11235_cov_9.311091	2	superkingdom	Bacteria	1	1	1	1.000	d_Bacteria
